epoch,batch,batch_loss,elapsed_s,data_wait_s,compute_s,timestamp_utc
12,350,-22.420708,384.5,0.42,52.19,2026-06-18T07:24:58:00Z
12,400,-22.579924,438.4,0.37,45.8,2026-06-18T07:25:52:00Z
12,450,-23.228266,492.2,0.33,40.83,2026-06-18T07:26:46:00Z
12,500,-22.822006,546.1,0.29,36.86,2026-06-18T07:27:40:00Z
12,550,-21.741621,600.1,0.27,33.61,2026-06-18T07:28:34:00Z
12,600,-20.836624,654.0,0.25,30.9,2026-06-18T07:29:28:00Z
12,650,-23.474712,707.9,0.23,28.6,2026-06-18T07:30:22:00Z
12,700,-23.067228,761.8,0.21,26.64,2026-06-18T07:31:15:00Z
12,750,-22.935173,815.7,0.2,24.93,2026-06-18T07:32:09:00Z
12,800,-21.935226,958.3,0.3,23.44,2026-06-18T07:34:32:00Z
